Sl no,"Part No.
230 volt",Brand,Model,Description,Unit,MRP QAR,MRP AED
1,13360471,RCF,H-BR ART 910,"Horizontal bracket for ART 9 series 10""",PCS,495,489
1,13360475,RCF,H-BR ART 912,"Horizontal bracket for ART 9 series 12""",PCS,495,489
1,13360479,RCF,H-BR ART 915,"Horizontal bracket for ART 9 series 15""",PCS,495,489
1,13360476,RCF,V-BR ART 912,"Vertical bracket for ART 9 series 12""",PCS,495,489
1,13360480,RCF,V-BR ART 915,"Vertical bracket for ART 9 series 15""",PCS,560,553
1,13360472,RCF,FL-BR ART 910,"Suspension bar for ART 9 series 10""",PCS,387,383
1,13360477,RCF,FL-BR ART 912,"Suspension bar for ART 9 series 12""",PCS,495,489
1,13360481,RCF,FL-BR ART 915,"Suspension bar for ART 9 series 15""",PCS,527,521
1,13360515,RCF,RP 001,"Amplifier rain cover to protect 2X ART 945, NX 932/945/985, NXL 24/44, NXW 44, NX 912/915-SMA, KX 32/45-A",PCS,291,287
1,13360164,RCF,H-BR 2X ART 708,"2 x horizontal bracket for ART 7 series 8""",PCS,549,542
1,13360103,RCF,H-BR 2X ART 710,"2 x horizontal bracket for ART7 series 10""",PCS,560,553
1,13360104,RCF,H-BR 2X ART 712,"2 x horizontal bracket for ART 7 series 12""",PCS,613,606
1,13360105,RCF,H-BR 2X ART 715,"2 x horizontal bracket for ART 7 series 15""",PCS,646,638
1,13360166,RCF,CVR ART 708,"ART Cover for ART 7 series 8""",PCS,269,266
1,13360113,RCF,CVR ART 710,"ART cover for ART 7 series 10""",PCS,291,287
1,13360114,RCF,CVR ART 722,"ART cover for ART 7 series 12""",PCS,344,340
1,13360115,RCF,CVR ART 725,"ART cover for ART 7 series 15""",PCS,377,372
1,13360506,RCF,2X PLATE H-BR NX 910-912-915,"Adapter plate to use H-BR 007 with NX 910-A, H-BR 003 with NX 912-A and KX 32-A, HBR60706 with NX 915-A and KX 45-A",PCS,947,936
1,13360495,RCF,CVR NX 910,Cover for NX 910-A,PCS,377,372
1,13360496,RCF,CVR NX 912,"Cover for NX 912-A, NX 932-A, KX 32-A",PCS,441,436
1,13360497,RCF,CVR NX 915,Cover for NX 915-A and KX 45-A,PCS,474,468
1,13360707,RCF,VBR60707,NX 945-A and KX 45-A vertical U braket,PCS,1614,1595
1,13360535,RCF,H-BR 001,"2x Horizontal bracket for C 45, NX 945-A and KX 45-A",PCS,1044,1031
1,13360687,RCF,HBR60687,2x Horizontal bracket for NX 945-A W,PCS,1044,1031
1,13360685,RCF,CVR60685,Cover for NXL 14-A,PCS,398,393
1,13360681,RCF,VBR60681,Vertical bracket for NXL 14-A,PCS,646,638
1,13360683,RCF,HBR60683,Horizontal bracket for NXL 14-A,PCS,441,436
1,13360682,RCF,VBR60682,Vertical bracket for NXL 14-A W,PCS,646,638
1,13360684,RCF,HBR60684,Horizontal bracket for NXL 14-A W,PCS,441,436
1,13360278,RCF,FL-B NXL 24,Fly bar for NXL24 up to 2 pieces,PCS,1184,1169
