Brand ,"REFERENCE/
PART NO",Model,Description EN,UOM,MRP QAR,MRP AED
GARVAN,SA117GB,SA117GB,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Rope,Pcs,8506,8404
GARVAN,SA117GC,SA117GC,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Mud,Pcs,8506,8404
GARVAN,SA117GD,SA117GD,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Grey,Pcs,8506,8404
GARVAN,SA117GE,SA117GE,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Graphite,Pcs,8506,8404
GARVAN,SA117GF,SA117GF,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 1,Pcs,9471,9357
GARVAN,SA117GG,SA117GG,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 2,Pcs,9471,9357
GARVAN,SA117GH,SA117GH,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 3,Pcs,9471,9357
GARVAN,SN117V,SN117V,360-degree cube loudspeaker - 8? 50Wrms - Solid surface Corian - green ral 6010 lacquer,Pcs,7487,7396
GARVAN,SN117Y,SN117Y,Outdoor Cube loudspeaker 8ohm in Solid Surface enhanced with Corian - laqueren in RAL9006 gray,Pcs,7487,7396
GARVAN,SN117B,SN117B,360-degree cylinder loudspeaker - 8? 50Wrms - Solid Surface enhanced with Corian,Pcs,6240,6165
GARVAN,SN117Z,SN117Z,Outdoor Cube loudspeaker 8 ?- Solid Surface enhanced with Corian - Corten effect,Pcs,7677,7584
GARVAN,SN117C,SN117C,360-degree cylinder loudspeaker - 8? 50Wrms - Solid Surface RAL colours,Pcs,7541,7450
GARVAN,SA225V,SA225V,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8ohm in Solid Surface enhanced in Corian - laquered in green,Pcs,17679,17466
GARVAN,SA225Y,SA225Y,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Solid Surface enhanced in Corian - gray ral 9006 lacquered,Pcs,17679,17466
GARVAN,SA225B,SA225B,Parallelepiped out-door 360 Loudspeaker 280x280x560mm  300Wrms 8? in Solid Surface enhanced in white Corian,Pcs,15671,15482
GARVAN,SA225Z,SA225Z,Parallelepiped out-door 360 Loudspeaker 280x280x560mm  300Wrms 8? in Solid Surface enhanced in Corian - Corten effect,Pcs,18281,18061
GARVAN,SA225C,SA225C,Parallelepiped out-door 360 Loudspeaker 280x280x560mm  300Wrms 8? in Solid Surface enhanced in Corian – RAL Colours,Pcs,18095,17877
GARVAN,SA225GA,SA225GA,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Porcelain stoneware 12mm finishing Ivory,Pcs,18685,18459
GARVAN,SA225GB,SA225GB,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8ohm in Porcelain stoneware 12mm finishing Rope,Pcs,18685,18459
GARVAN,SA225GC,SA225GC,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8ohm in Porcelain stoneware 12mm finishing Mud,Pcs,18685,18459
GARVAN,SA225GD,SA225GD,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8ohm in Porcelain stoneware 12mm finishing Grey,Pcs,18685,18459
GARVAN,SA225GE,SA225GE,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Porcelain stoneware 12mm finishing Graphite,Pcs,18685,18459
GARVAN,SA225GF,SA225GF,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 1,Pcs,20085,19843
GARVAN,SA225GG,SA225GG,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 2,Pcs,20085,19843
GARVAN,SA225GH,SA225GH,Parallelepiped out-door 360 Loudspeaker 280x280x560mm 300Wrms 8? in Porcelain stoneware 12mm finishing Marble Gres 3,Pcs,20085,19843
GARVAN,WA125V,WA125V,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface enhanced in green RAL 6010 Corian,Pcs,14855,14676
GARVAN,WA125Y,WA125Y,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface enhanced in grey RAL 9006 Corian,Pcs,14855,14676
GARVAN,WA125B,WA125B,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4? in Solid Surface enhanced in white Corian,Pcs,12848,12693
GARVAN,WA125Z,WA125Z,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4? in Solid Surface enhanced in white Corian - Corten effect,Pcs,15494,15308
GARVAN,WA125C,WA125C,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4? in Solid Surface enhanced in Corian lacquered RAL COLOUR,Pcs,15308,15124
GARVAN,WA125GA,WA125GA,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface in Ivory finishing,Pcs,15861,15670
GARVAN,WA125GB,WA125GB,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface in Rope finishing,Pcs,15861,15670
GARVAN,WA125GC,WA125GC,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface in Mud finishing,Pcs,15861,15670
GARVAN,WA125GD,WA125GD,Parallelepiped out-door 360 Subwoofer 280x280x560mm 300Wrms 4ohm in Solid Surface in Grey finishing,Pcs,15861,15670
