,,,RCF & TT Audio Price List Feb 2025,,
,Part No.230,Model,Description,MRP QAR,MRP AED
1,13000891,NXL 14-A W,"Two-way Active speaker system 2 x 6"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak, white",6565,6485
1,13000610,NXL 24-A MK2,"Active 2-way array, 4x6"" woofers + 2.5"" v.c., 1050Wrms, 2100Wpeak",11193,11057
1,13000609,NXL 44-A MK2,"Active 2-way array, 3x10"" woofers + 3"" v.c., 1050Wrms, 2100Wpeak",15606,15415
1,13000805,NXW 44-A,"Active 2-way wide directivity speaker, 3x10"" woofers + 3"" v.c., 1050Wrms, 2100Wpeak",15606,15415
1,13000743,NX 985-A,"Three-way Active speaker system 15"" + 8"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak",11946,11801
1,13000260,NX 15-SMA,"Active coaxial stage monitor 15""+1"", 700Wrms, 1400Wpeak",10224,10100
1,13000235,NX 12-SMA,"Active coaxial stage monitor 12""+1"", 700Wrms, 1400Wpeak",8933,8824
1,13000233,NX 10-SMA,"Active coaxial stage monitor 10""+1"", 400Wrms, 800Wpeak",6673,6591
1,13000783,NX 912-SMA,"Active high-output multipurpose monitor 12"" + 1.75"" v.c., 2.100 Wpeak",6565,6485
1,13000785,NX 915-SMA,"Active high-output multipurpose monitor 15"" + 1.75"" v.c., 2.100 Wpeak",7534,7442
1,13000818,SUB 702-AS MK3,"12"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",4843,4784
1,13000812,SUB 705-AS MK3,"15"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",6135,6060
1,13000809,SUB 708-AS MK3,"18"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",7749,7655
1,13000846,SUB 905-AS MK3,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, presets",7964,7867
1,13000844,SUB 8003-AS MK3,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, presets",9256,9143
1,13000835,SUB 15-AX,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets",8072,7973
1,13000836,SUB 18-AX,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets",9579,9462
1,13000878,SUB 15-AX W,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets, white",8072,7973
1,13000880,SUB 18-AX W,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets, white",9579,9462
1,13000787,SUB 18-AS,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak",8072,7973
1,13000752,SUB 8008-AS,"Double 18"" Bass Reflex Active Subwoofer, 2200Wrms, 4400Wpeak",17651,17435
1,13360324,CVR EVOX 12,Cover for Evox 12,700,691
1,13360406,CVR-WH EVOX J,Cover  with wheels for EVOX J8 and EVOX JMIX8,1130,1116
1,13360407,CVR EVOX J,Cover  for EVOX J8 and EVOX JMIX8,377,372
1,13360473,CVR ART 910,"ART cover for ART 9 series 10""",366,361
1,13360474,CVR ART 912,"ART cover for ART 9 series 12""",387,383
1,13360478,CVR ART 915,"ART cover for ART 9 series 15""",420,415
1,13360471,H-BR ART 910,"Horizontal bracket for ART 9 series 10""",495,489
1,13360475,H-BR ART 912,"Horizontal bracket for ART 9 series 12""",495,489
1,13360479,H-BR ART 915,"Horizontal bracket for ART 9 series 15""",495,489
1,13360476,V-BR ART 912,"Vertical bracket for ART 9 series 12""",495,489
1,13360480,V-BR ART 915,"Vertical bracket for ART 9 series 15""",560,553
1,13360472,FL-BR ART 910,"Suspension bar for ART 9 series 10""",387,383
1,13360477,FL-BR ART 912,"Suspension bar for ART 9 series 12""",495,489
1,13360481,FL-BR ART 915,"Suspension bar for ART 9 series 15""",527,521
1,13360515,RP 001,"Amplifier rain cover to protect 2X ART 945, NX 932/945/985, NXL 24/44, NXW 44, NX 912/915-SMA, KX 32/45-A",291,287
1,13360164,H-BR 2X ART 708,"2 x horizontal bracket for ART 7 series 8""",549,542
1,13360103,H-BR 2X ART 710,"2 x horizontal bracket for ART7 series 10""",560,553
1,13360104,H-BR 2X ART 712,"2 x horizontal bracket for ART 7 series 12""",613,606
1,13360105,H-BR 2X ART 715,"2 x horizontal bracket for ART 7 series 15""",646,638
1,13360166,CVR ART 708,"ART Cover for ART 7 series 8""",269,266
1,13360113,CVR ART 710,"ART cover for ART 7 series 10""",291,287
1,13360114,CVR ART 722,"ART cover for ART 7 series 12""",344,340
1,13360115,CVR ART 725,"ART cover for ART 7 series 15""",377,372
1,13360506,2X PLATE H-BR NX 910-912-915,"Adapter plate to use H-BR 007 with NX 910-A, H-BR 003 with NX 912-A and KX 32-A, HBR60706 with NX 915-A and KX",947,936
1,13360495,CVR NX 910,Cover for NX 910-A,377,372
1,13360496,CVR NX 912,"Cover for NX 912-A, NX 932-A, KX 32-A",441,436
1,13360497,CVR NX 915,Cover for NX 915-A and KX 45-A,474,468
1,13360707,VBR60707,NX 945-A and KX 45-A vertical U braket,1614,1595
1,13360535,H-BR 001,"2x Horizontal bracket for C 45, NX 945-A and KX 45-A",1044,1031
1,13360687,HBR60687,2x Horizontal bracket for NX 945-A W,1044,1031
1,13360685,CVR60685,Cover for NXL 14-A,398,393
1,13360681,VBR60681,Vertical bracket for NXL 14-A,646,638
1,13360683,HBR60683,Horizontal bracket for NXL 14-A,441,436
1,13360682,VBR60682,Vertical bracket for NXL 14-A W,646,638
1,13360684,HBR60684,Horizontal bracket for NXL 14-A W,441,436
1,13360278,FL-B NXL 24,Fly bar for NXL24 up to 2 pieces,1184,1169
1,13360279,FL-B LINK NXL 24,Accessory to link a second NXL24 to a flying NXL24 (straight or 2 angles),904,893
1,13360280,PM-KIT NXL 24,Pole mount accessory for stacking NXL24 on SUB8004 (or M20 pole mount),409,404
1,13360281,STCK-KIT NXL 24,Accessory for stacking 2 NXL24 on SUB8006 or 8004 (or M20 pole mount),904,893
1,13360345,FL-B NXL 44,Fly bar for NXL44 up to 2 pieces,1507,1488
1,13360346,FL-B LINK NXL 44,Accessory to link a second NXL44 to a flying NXL44 (straight or 2 angles),1453,1435
1,13360347,STCK-KIT NXL 44,Accessory for stacking 2 NXL44 on SUB8006 or 8004 (or M20 pole mount),1776,1754
1,13360167,CVR NX10-SMA,Cover for NX 10 SMA,366,361
1,13360168,CVR NX12-SMA,Cover for NX 12 SMA,387,383
1,13360174,CVR NX15-SMA,Cover for NX 15 SMA,409,404
1,13360612,CVR 011,Cover for NX 912-SMA,441,436
1,13360611,CVR 010,Cover for NX 915-SMA,474,468
1,13360517,CVR NX 985,Cover for NX 985,796,787
1,13360528,CVR 005,Cover for SUB 702-AS MK3,527,521
1,13360529,CVR 004,"Cover for SUB 705-AS MK3, SUB 905-AS MK3 and SUB 15-AX",581,574
1,13360530,CVR 003,"Cover for SUB 708-AS MK3, SUB 8003-AS MK3 and SUB 18-AX",732,723
1,13360518,CVR SUB 8008,Cover for SUB 8008,1076,1063
1,17140088,F 6X,6 channel mixing console with multi-FX,1076,1063
1,17140089,F 10XR,10 channel mixing console with multi-FX & Recording,1507,1488
1,17140090,F 12XR,12 channel mixing console with multi-FX & Recording,2099,2073
1,17140091,F 16XR,16 channel mixing console with multi-FX & Recording,2852,2817
1,13360416,RM-KIT F 12XR,Rack mount kit for F 12XR,108,106
1,13360417,BG F 6X,Carrying bag for F 6X,280,276
1,13360418,BG F 10XR,Carrying bag for F 10XR,291,287
1,13360419,BG F 12XR,Carrying bag for F 12XR,312,308
1,13360420,BG F 16XR,Carrying bag for F 16XR,334,330
1,12399066,MWD1,Wireless usb adapter,65,64
1,12100037,XPS 16K,"Class D power amplifier with DSP - 4 x 4.000 W @ 2.7 ohm, RDNET",49292,48691
1,12100064,XPS 16KD,"Class D power amplifier with DSP - 4 x 4.000 W @ 2.7 ohm, RDNET, DANTE",51768,51136
1,12100065,IPS 1.5K,Class H power amplifier - 2 x 750 W @ 4 ohm,3390,3349
1,12100059,IPS 2.5K,Class H power amplifier - 2 x 1.250 W @ 4 ohm,4628,4571
1,12100061,IPS 5.0K,Class H power amplifier - 2 x 2.600 W @ 4 ohm,6888,6804
1,12100055,QPS 6.0K,Class HD power amplifier - 4 x 1.500 W @ 2 ohm,10009,9887
1,12100057,QPS 10K,Class HD power amplifier - 4 x 2.500 W @ 2 ohm,11085,10950
1,12399033,DX 1616,"16X16 matrix audio processor, AES-EBU, ethernet, Dante",28736,28385
1,12135033,DX 4008,4 IN 8 OUT Digital speaker processor,11946,11801
1,13100022,VSA 2050 II,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet",29812,29449
1,13100025,VSA 1250 II,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet",23139,22857
1,13100028,VSA 850 II,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet",19265,19030
